operation_id,candidate_id,scope_space_id,nearest_station,walk_minutes,station_access,airport_access,parking_spaces_on_site,large_vehicle_access,loading_access,booking_open_months,booking_close_days,consecutive_use,setup_teardown_policy,food_policy,merch_policy,network_policy,lodging_note,access_source_url,booking_source_url,operations_source_url,observed_at,verification_status,note
OP-001,CAND-027,gmesse-exhibition,JR高崎駅,15,"徒歩約1.1km。市内循環バス「ぐるりん」乗入れ",,1918,yes,"展示ホールへ大型車両直接乗入可。大型自動車駐車場49台",,,conditional,"利用時間に設営撤去を含む。本番日と連続する練習・準備・撤去には別途設営料金",unknown,unknown,"LANあり。ギガ・ラインは別料金",,https://www.g-messe-gunma.jp/visitor-access.html,https://www.g-messe-gunma.jp/organizer-terms.html,https://www.g-messe-gunma.jp/visitor-facilities-exhibitionhall.html,2026-07-30,verified,"駐車台数は一般用。大型車駐車は要問い合わせ"
OP-002,CAND-018,dejima-exhibition,JR長崎駅,,"長崎駅西口正面から屋根付きペデストリアンデッキで直結",,300,yes,"展示棟搬入口はW4.0×H4.0m。大型搬入用EVあり",,,conditional,"搬入出は利用開始10日前までに車両台数等を申請。必要な養生を行う",unknown,unknown,yes,"ヒルトン長崎が隣接",https://dejima-messe.jp/access,https://dejima-messe.jp/faq,https://dejima-messe.jp/assets/teaser/pdf/carry_in_out03.pdf,2026-07-30,verified,"駐車場300台は総重量2.0t以下の一般車用。荷捌き後の搬入車両は移動が必要"
OP-003,CAND-019,bcon-convention,JR別府駅,20,"西口から西へ1.3km。路線バス約5分",,"58",yes,"地下駐車場のほか、別府公園東駐車場に大型バス25台",36,,conditional,"準備・設営・撤去も予約した利用時間内",unknown,conditional,unknown,"別府市内の宿泊・観光情報を施設が案内",https://www.b-conplaza.jp/access/,https://www.b-conplaza.jp/organizer2/policy/,https://www.b-conplaza.jp/organizer2/booking/,2026-07-30,verified,"全館またはコンベンションホール全面は36か月前の月初から。駐車場は隣接・臨時分を単純合算しない"
OP-004,CAND-045,asty-multipurpose,JR徳島駅,,"路線バス利用を公式アクセス資料で案内",,,yes,"多目的ホールへ11tトラック乗入可",36,30,conditional,"準備・リハーサル・撤去利用は料金条件が異なる。利用計画打合せが必要",unknown,unknown,conditional,,https://www.asty-tokushima.jp/organizer/reserve/manual/,https://www.asty-tokushima.jp/organizer/reserve/flow/index.html,https://www.asty-tokushima.jp/organizer/facility/hall/,2026-07-30,verified,"多目的ホールは3年前の同日から1か月前まで受付。予約解禁日に複数申込の場合は抽選"
OP-005,CAND-010,nara-convention-abc,近鉄新大宮駅,10,"徒歩約10分。奈良市庁前または三笠中学校前バス停からすぐ","大阪国際（伊丹）空港から空港バス約60分、関西国際空港から約100分",,conditional,"搬入口利用・設営撤去等の届出書と搬入口案内あり。車両条件は要確認",36,,unknown,"基本レイアウトはフラット。備品追加・レイアウト変更作業は別途有料",unknown,unknown,"全館Wi-Fi無料（天平広場除く）。臨時電話・インターネット届出書あり",,https://www.nara-cc.jp/access/,https://www.nara-cc.jp/guide/index.html,https://www.nara-cc.jp/facility/floor.html,2026-07-30,verified,"36か月前受付はコンベンションホール全面。分割A・B・Cは18か月前、天平ホールは12か月前"
OP-006,CAND-028,makuhari-exhibition-10,JR海浜幕張駅,5,"JR京葉線海浜幕張駅から徒歩約5分。東京駅から快速約30分","羽田空港・成田空港から高速バスあり。車では東京都心・羽田空港から約40分、成田空港から約30分",5000,yes,"展示ホール9〜11にローディングスペースと搬入出口あり。詳細な車両条件は利用打合せで確認",12,,conditional,"利用開始1か月前までに会場構成、工事、冷暖房、電気、警備等を打合せ。基本料外の光熱費・備品は事後精算",unknown,unknown,"展示ホールはWi-Fi対応可。高速光回線・ローカル5Gは別サービス",,https://www.m-messe.co.jp/access/?hl=ja,https://www.m-messe.co.jp/organizers/application/,https://www.m-messe.co.jp/organizers/guide/exhibitionhall/guide_exibition9-11,2026-07-30,verified,"駐車場約5000台、大型車両スペース120台・予約不可。会場使用料10%を4か月前、90%を1週間前までに支払う"
OP-007,CAND-028,makuhari-event-hall,JR海浜幕張駅,5,"JR京葉線海浜幕張駅から徒歩約5分。東京駅から快速約30分","羽田空港・成田空港から高速バスあり。車では東京都心・羽田空港から約40分、成田空港から約30分",5000,yes,"搬入出、設営撤去計画を利用開始約1か月前までに打合せ。搬入出口あり",12,,conditional,"基本使用料は連続12時間。本番、設営・撤去で利用目的別料金。8時以前・22時以降は立会人件費が別途必要",unknown,conditional,conditional,"周辺に施設公式のオフィシャルホテル案内あり",https://www.m-messe.co.jp/access/?hl=ja,https://www.m-messe.co.jp/organizers/application/,https://www.m-messe.co.jp/organizers/guide/eventhall/guide_eventhall?newwindow=true,2026-07-30,verified,"会場使用料50%を6か月前、残額を3か月前までに支払う。Wi-Fiは控室で対応可、ホール内は要確認"
OP-008,CAND-029,bigsight-south-1,ゆりかもめ東京ビッグサイト駅,3,"ゆりかもめ東京ビッグサイト駅から徒歩約3分。りんかい線国際展示場駅から徒歩約7分",,,yes,"南1ホールは搬出入口3・専用トラックヤードあり。搬入出車両は作業後に移動し、指定待機場・トラックヤード・駐車場を利用",18,,conditional,"搬入出・会場レイアウト・工事・警備等は担当者と利用計画を打合せ。半日のみの貸出なし",unknown,unknown,conditional,,https://www.bigsight.jp/visitor/access/?code=x,https://www.bigsight.jp/organizer/guide/howto/exhibition.html,https://www.bigsight.jp/organizer/download/pdf/guidance_hall.pdf,2026-07-30,verified,"各年度の予約は当該年度開始日4月1日の1年半前から受付。申込金10%、残金90%。2026〜2028年は部分・全館休館予定があるため日程別に最新の利用照会が必要"
OP-009,CAND-036,portmesse-first-b,あおなみ線金城ふ頭駅,2,"金城ふ頭駅から第1展示館まで徒歩約2分。名古屋駅からあおなみ線約24分","中部国際空港からの直通路線バスは全便運休中。鉄道乗継を公式案内",,yes,"第1展示館にW6.0m×H5.0mの搬出入口8か所、バックヤード大型車46台。来場者用場内駐車場はなく近隣金城ふ頭駐車場5010台を案内",18,,yes,"使用期間に準備・撤去・清掃・原状復旧を含む。30日超の連続使用は原則不可",unknown,unknown,"共用部Free Wi-Fiあり。展示ホール内の催事用回線は要確認",,https://portmesse.com/wp-content/uploads/areamap.pdf,https://portmesse.com/organizer/usage/flow,https://portmesse.com/facility/tenjikan01,2026-07-30,verified,"通常は18か月前の月初受付。第1展示館全館または複数展示館を同時に3日以上利用する場合は24か月前の月初。2026年6月1日以降はアジア・アジアパラ競技大会に伴う一般利用休止の影響があるため最新確認が必要"
OP-010,CAND-040,intex-hall-5b,ニュートラム中ふ頭駅,5,"中ふ頭駅から徒歩約5分。トレードセンター前駅から約8分、コスモスクエア駅から約9分","関西国際空港から中ふ頭駅まで鉄道約1時間40分。空港リムジンは隣接ホテルまで約50分",,yes,"5Bゾーンは搬出入口1か所。5A・5B用バックヤード駐車は合計20台と施設図面に記載",6,,conditional,"標準利用時間7:00〜22:00。利用開始2週間前までを目安に最終打合せ。電気・水道・ガス・冷暖房は使用者負担",unknown,unknown,"5Bに光回線、事務所LAN口あり。催事用回線・配信帯域・料金は要確認","隣接ホテルへの空港リムジン案内あり",https://www.intex-osaka.com/jp/access/train/,https://www.intex-osaka.com/jp/organizer/contact/,https://www.intex-osaka.com/jp/organizer/guide/download/file/hall_5ab_detail.pdf,2026-07-30,verified,"展示館一般は1年前受付。5B単独および半館利用は6か月前からで、5A主催者との調整が必要。料金支払いは請求後30日以内に10%、残額は利用開始1か月前まで"
